Entity,Code,Year,Oil production (TWh)
Africa,,1900,0
Africa,,1901,0
Africa,,1902,0
Africa,,1903,0
Africa,,1904,0
Africa,,1905,0
Africa,,1906,0
Africa,,1907,0
Africa,,1908,0
Africa,,1909,0
Africa,,1910,0
Africa,,1911,0.034890027912
Africa,,1912,0.325640260512
Africa,,1913,0.15119012095200002
Africa,,1914,1.1630009304000002
Africa,,1915,0.34890027912
Africa,,1916,0.6861705489360002
Africa,,1917,1.604941283952
Africa,,1918,3.2912926330319996
Africa,,1919,2.6167520934
Africa,,1920,1.732871386296
Africa,,1921,2.128291702632
Africa,,1922,2.023621618896
Africa,,1923,1.7910214328160001
Africa,,1924,1.91895153516
Africa,,1925,2.116661693328
Africa,,1926,2.023621618896
Africa,,1927,2.163181730544
Africa,,1928,3.128472502776
Africa,,1929,3.1982525586
Africa,,1930,3.337812670248
Africa,,1931,3.3727026981600003
Africa,,1932,3.1633625306880004
Africa,,1933,2.79120223296
Africa,,1934,2.581862065488
Africa,,1935,2.116661693328
Africa,,1936,2.128291702632
Africa,,1937,2.023621618896
Africa,,1938,2.663272130616
Africa,,1939,7.803736242984
Africa,,1940,10.862428689936001
Africa,,1941,14.270021416008
Africa,,1942,13.804821043848001
Africa,,1943,15.002712002160001
Africa,,1944,15.793552634832002
Africa,,1945,15.735402588312002
Africa,,1946,14.944561955640001
Africa,,1947,15.549322439448
Africa,,1948,22.027237621776003
Africa,,1949,26.818801455024005
Africa,,1950,30.807894646296003
Africa,,1951,28.086472469160004
Africa,,1952,29.063393250696002
Africa,,1953,29.528593622856
Africa,,1954,25.132450105944006
Africa,,1955,23.004158403312005
Africa,,1956,21.724857379872002
Africa,,1957,31.133534906808002
Africa,,1958,52.323411858696
Africa,,1959,67.675024139976
Africa,,1960,160.48249838589604
Africa,,1961,275.014830011688
Africa,,1962,451.76771141388
Africa,,1963,665.4226123376641
Africa,,1964,957.7545262030081
Africa,,1965,1233.0958880370326
Africa,,1966,1569.275286897003
Africa,,1967,1726.330039329593
Africa,,1968,2212.5283927379646
Africa,,1969,2813.7193069403115
Africa,,1970,3394.1104095528217
Africa,,1971,3175.865830557299
Africa,,1972,3188.988188205177
Africa,,1973,3341.488290560716
Africa,,1974,3080.5582976835553
Africa,,1975,2826.4967504511465
Africa,,1976,3371.6278958168255
Africa,,1977,3535.2871766108124
Africa,,1978,3450.9340054949957
Africa,,1979,3794.054692363548
Africa,,1980,3486.817580924055
Africa,,1981,2768.638276247738
Africa,,1982,2661.7336004407325
Africa,,1983,2697.9645434365752
Africa,,1984,2881.0947082572557
Africa,,1985,2995.460330088569
Africa,,1986,2986.854904954235
Africa,,1987,2992.77116673724
Africa,,1988,3119.8907590383883
Africa,,1989,3443.432823455166
Africa,,1990,3690.371303622459
Africa,,1991,3828.3722492786824
Africa,,1992,3900.9545878722843
Africa,,1993,3850.0992901103014
Africa,,1994,3842.344770840024
Africa,,1995,3904.604089575217
Africa,,1996,4031.0199388355936
Africa,,1997,4124.7469938671775
Africa,,1998,4138.616859190838
Africa,,1999,4021.609907179796
Africa,,2000,4314.525171856265
Africa,,2001,4271.282291828655
Africa,,2002,4300.2678341559595
Africa,,2003,4676.876925509659
Africa,,2004,5204.051312943276
Africa,,2005,5395.946540709335
Africa,,2006,5521.856437720505
Africa,,2007,5637.099905537429
Africa,,2008,5694.421432766835
Africa,,2009,5478.203119681212
Africa,,2010,5655.095005711275
Africa,,2011,4714.570846453661
Africa,,2012,5134.572256437853
Africa,,2013,4754.948706905921
Africa,,2014,4535.521068530618
Africa,,2015,4489.639480114267
